nct_id,official_title,eligibility_criteria,inclusion_criteria,exclusion_criteria
NCT00568165,Value of a Mobile Team of Cardiologist Using Echocardiography for Managing Patients With Acute Heart Failure,"Inclusion Criteria:

* Hospitalized for suspected heart failure
* \> or = 18 years

Exclusion Criteria:

* Refuses to participate","[""Hospitalized for suspected heart failure"", ""> or = 18 years""]","[""Refuses to participate""]"
NCT03747107,Pharmacist and Data Driven Quality Improvement in Primary Care,"Inclusion Criteria:

* General practices in NHS Tayside, who use the Vision electronic medical record software and agree to the extraction of data from medical records for monitoring and evaluation purposes

Exclusion Criteria:

* General practices using electronic medical record software other than Vision","[""General practices in NHS Tayside, who use the Vision electronic medical record software and agree to the extraction of data from medical records for monitoring and evaluation purposes""]","[""General practices using electronic medical record software other than Vision""]"
NCT04221763,Evaluation of Mechanisms and Innovations in Cardiac Resynchronization Therapy,"Inclusion Criteria:

* Patients referred for conventional CRT
* Severe heart failure (LVEF, a measure of heart pumping, \< 35% - severe)
* Prolonged QRS duration (\>120ms)
* Adults willing to take part (age \> 18 years)
* Able to give consent

Exclusion Criteria:

* Unable to give consent
* Children (age \< 18 years)
* Pregnant women","[""Patients referred for conventional CRT"", ""Severe heart failure (LVEF, a measure of heart pumping, < 35% - severe)"", ""Prolonged QRS duration (>120ms)"", ""Adults willing to take part (age > 18 years)"", ""Able to give consent""]","[""Unable to give consent"", ""Children (age < 18 years)"", ""Pregnant women""]"
NCT04740333,Prognostic Impact of Admission Glucose Level in Septic Patients Admitted to the Intensive Care Unit- a Retrospective Study,"Inclusion Criteria:1. Patients admitted to the ICU between 1.1.2014-30.1.2020. 2. Diagnosis of sepsis or septic shock upon admission. 3. Age over 18 years. 4. No previous diagnosis of diabetes mellitus.

\-

Exclusion Criteria:1. Patients with prior diagnosis of diabetes mellitus. 2. Admission hypoglycemia (blood glucose levels below 70 mg / dL). 3. Patients who were given insulin or intravenous glucose before the first ICU blood glucose measured level.

\-","[""Patients admitted to the ICU between 1.1.2014-30.1.2020."", ""Diagnosis of sepsis or septic shock upon admission."", ""Age over 18 years."", ""No previous diagnosis of diabetes mellitus.""]","[""Patients with prior diagnosis of diabetes mellitus."", ""Admission hypoglycemia (blood glucose levels below 70 mg / dL)."", ""Patients who were given insulin or intravenous glucose before the first ICU blood glucose measured level.""]"
NCT02506738,(in Spanish) Utilidad de un Instrumento telediagnóstico en la detección de la reagudización de la Insuficiencia Cardiaca crónica en Ancianos,"Inclusion Criteria:

* Patients admitted at the acute care unit at the Hospital Universitario de Getafe who are diagnosed with Heart Failure as primary cause for admission.

Exclusion Criteria:

* Moderate/severe cognitive impairment (MMSE\<23)
* Visual/auditory deficits, communication problems
* Moderate/severe non-reversible functional impairment (Barthel\<60)
* To be institutionalized
* To be discharged to a Functional Rehabilitation Hospital","[""Patients admitted at the acute care unit at the Hospital Universitario de Getafe who are diagnosed with Heart Failure as primary cause for admission.""]","[""Moderate/severe cognitive impairment (MMSE<23)"", ""Visual/auditory deficits, communication problems"", ""Moderate/severe non-reversible functional impairment (Barthel<60)"", ""To be institutionalized"", ""To be discharged to a Functional Rehabilitation Hospital""]"
NCT02808767,Comparison of Prasugrel and Ticagrelor in the Treatment of Acute Myocardial Infarction,"Inclusion Criteria:

1. Acute myocardial infarction (\> 1mm ST elevation in at least 2 related leads or ST depression \> 2mm in 3 leads or new BBB) with an indication to emergent (within 120 minut from admission to the PCI center) coronary angiography and PCI,
2. Signed informed consent.

Exclusion Criteria:

1. History of stroke,
2. Serious bleeding within last 6 months,
3. Indication to an oral anticoagulation (e.g. atrial fibrillation, artificial valve, thromboembolism etc...)
4. Use of ≥ 300 mg of clopidogrel or another antiplatelet agent (except of aspirin and lower dose of clopidogrel) before randomization,
5. Low body weight (\<60 kg) in an older patient (\>75 years of age),
6. Moderate or severe liver dysfunction,
7. Ongoing therapy with a strong CYP3A4 inhibitor (e.g. ketoconazole, clarythromycine, nefazodone, ritonavir, atazanavit),
8. Hypersensitivity to prasugrel or ticagrelor.","[""Acute myocardial infarction (\"">\"" 1mm ST elevation in at least 2 related leads or ST depression \"">\"" 2mm in 3 leads or new BBB) with an indication to emergent (within 120 minut from admission to the PCI center) coronary angiography and PCI"", ""Signed informed consent""]","[""History of stroke"", ""Serious bleeding within last 6 months"", ""Indication to an oral anticoagulation (e.g. atrial fibrillation, artificial valve, thromboembolism etc...)"", ""Use of \"">=\"" 300 mg of clopidogrel or another antiplatelet agent (except of aspirin and lower dose of clopidogrel) before randomization"", ""Low body weight (\""<\""60 kg) in an older patient (\"">\""75 years of age)"", ""Moderate or severe liver dysfunction"", ""Ongoing therapy with a strong CYP3A4 inhibitor (e.g. ketoconazole, clarythromycine, nefazodone, ritonavir, atazanavit)"", ""Hypersensitivity to prasugrel or ticagrelor""]"
NCT02175563,,"Inclusion Criteria:

* Healthy person
* \> 18 years old
* Basic life support educated person

Exclusion Criteria:

* Cardiovascular disease
* Musculoskeletal disease
* Psychiatric disease
* Pregnant
* \> 65 years old","[""Healthy person"", ""> 18 years old"", ""Basic life support educated person""]","[""Cardiovascular disease"", ""Musculoskeletal disease"", ""Psychiatric disease"", ""Pregnant"", ""> 65 years old""]"
NCT00535106,"An International, Randomized, Controlled Prehospital Trial of a Waveform-Based Automated External Defibrillation Algorithm for the Management of Ventricular Fibrillation","Inclusion Criteria:

* initial treatment includes application of a study AED
* complete initial waveform analysis
* presenting rhythm is ventricular fibrillation
* arrest of cardiac etiology

Exclusion Criteria:

* arrest of noncardiac etiology
* initial treatment with a non-study defibrillator
* missing AED data
* age \<18 (London only)
* resuscitation terminated due to a DNR order / decision","[""initial treatment includes application of a study AED"", ""complete initial waveform analysis"", ""presenting rhythm is ventricular fibrillation"", ""arrest of cardiac etiology""]","[""arrest of noncardiac etiology"", ""initial treatment with a non-study defibrillator"", ""missing AED data"", ""age <18 (London only)"", ""resuscitation terminated due to a DNR order / decision""]"
NCT01015144,The Influence of Atorvastatin on the Parameters of Inflammation and the Function of Left Ventricle in Patients With Dilated Cardiomyopathy,"Inclusion Criteria:

* patients 18 years old or older
* patients who signed informed consent
* patients with dilated cardiomyopathy (according ESC 2007)
* patients who had no significant coronary artery stenoses \>30% on cardiac catheterization

Exclusion Criteria:

* BP ≥140/90 lub \<90/60
* congenital heart disease
* acquired valvular disease except for mitral incompetence secondary to left ventricular dilatation
* New York Heart Association (NYHA) functional class IV
* statin treatment
* preserved hyperactivity of aminotransferases with unexplained etiology,
* muscle disorders which might cause drug-induced myopathy,
* uncontrolled diabetes,
* liver diseases,
* creatinine level \> 2 mg/dl and/or GFR\<30ml/min,
* abuse of alcohol or drugs,
* chronic inflammatory diseases,
* pregnancy or lactation,
* severe hypothyroidism,
* immunosuppressive treatment,
* operation or severe injury during last month
* vaccination during last 3 months
* heart stimulation device or implantable cardioverter defibrillator
* or who didn't write conscious consent","[""patients 18 years old or older"", ""patients who signed informed consent"", ""patients with dilated cardiomyopathy (according ESC 2007)"", ""patients who had no significant coronary artery stenoses >30% on cardiac catheterization""]","[""BP \""140/90 lub <90/60"", ""congenital heart disease"", ""acquired valvular disease except for mitral incompetence secondary to left ventricular dilatation"", ""New York Heart Association (NYHA) functional class IV"", ""statin treatment"", ""preserved hyperactivity of aminotransferases with unexplained etiology"", ""muscle disorders which might cause drug-induced myopathy"", ""uncontrolled diabetes"", ""liver diseases"", ""creatinine level > 2 mg/dl and/or GFR<30ml/min"", ""abuse of alcohol or drugs"", ""chronic inflammatory diseases"", ""pregnancy or lactation"", ""severe hypothyroidism"", ""immunosuppressive treatment"", ""operation or severe injury during last month"", ""vaccination during last 3 months"", ""heart stimulation device or implantable cardioverter defibrillator"", ""or who didn't write conscious consent""]"
NCT06759532,Prognostic Role of Persistent Microvascular Obstruction by Cardiac Magnetic Resonance for ST-segment Elevation Myocardial Infarction,"Inclusion Criteria:

* ST-segment elevation myocardial infarction undewent primary percutaneous coronary intervention

Exclusion Criteria:

* contraindications for cardiac magnetic resonance
* severe heart failure
* previous myocardial infarction.","[""ST-segment elevation myocardial infarction undewent primary percutaneous coronary intervention""]","[""contraindications for cardiac magnetic resonance"", ""severe heart failure"", ""previous myocardial infarction""]"
NCT00206232,Novel Treatment for Diastolic Heart Failure in Women,"Inclusion Criteria:

* Women who are 18 years of age or older.
* Women with clinical heart failure for \> 2 months.
* Women with left ventricular ejection fraction \> 50% within 2 months of screening.
* Women with New York Heart Association class II or III heart failure symptoms.
* Brain Natriuretic Peptide \> 62 pg/ml within 2 months of screening.
* Patient on angiotensin converting enzyme inhibitor or angiotensin receptor blocker therapy for at least 1 month.
* Blood Pressure no more than 150/95.
* Patient able to walk more than 50 meters at the time of enrollment.
* Signed informed consent.

Exclusion Criteria:

* Current treatment with spironolactone.
* Severe hepatic impairment.
* Creatinine \> 2.5 mg/dl
* Potassium \> 5.0 mEq/L
* Intolerance to spironolactone in the past.
* Significant valvular heart disease, pericardial disease, or severe chronic lung disease with cor pulmonale.
* Unstable angina or myocardial infarction within the past 4 weeks.
* Severe peripheral vascular disease or other physical conditions that would limit the walking distance.
* Pregnant or lactating females.
* Participation in any other drug trial within 30 days prior to randomization.
* Inability to provide informed consent.","[""Women who are 18 years of age or older."", ""Women with clinical heart failure for > 2 months."", ""Women with left ventricular ejection fraction > 50% within 2 months of screening."", ""Women with New York Heart Association class II or III heart failure symptoms."", ""Brain Natriuretic Peptide > 62 pg/ml within 2 months of screening."", ""Patient on angiotensin converting enzyme inhibitor or angiotensin receptor blocker therapy for at least 1 month."", ""Blood Pressure no more than 150/95."", ""Patient able to walk more than 50 meters at the time of enrollment."", ""Signed informed consent.""]","[""Current treatment with spironolactone."", ""Severe hepatic impairment."", ""Creatinine > 2.5 mg/dl"", ""Potassium > 5.0 mEq/L"", ""Intolerance to spironolactone in the past."", ""Significant valvular heart disease, pericardial disease, or severe chronic lung disease with cor pulmonale."", ""Unstable angina or myocardial infarction within the past 4 weeks."", ""Severe peripheral vascular disease or other physical conditions that would limit the walking distance."", ""Pregnant or lactating females."", ""Participation in any other drug trial within 30 days prior to randomization."", ""Inability to provide informed consent.""]"
NCT00252187,Cardiac Hormone Replacement With BNP in Heart Failure: A Novel Therapeutic Strategy,"Inclusion Criteria:

1. Age \> 18 years
2. Resting left ventricular ejection fraction (LVEF) of 35% or less (determined within 48 months of recruitment by echocardiography, multiple gate acquisition scan (MUGA) or left ventriculogram.)
3. New York Heart Association (NYHA) Class I (with previous symptoms of heart failure), Class II and III
4. Female subjects not menopausal or surgically sterilized will need to have a negative pregnancy test the day before the study day and be on contraception.

Exclusion Criteria:

1. Myocardial infarction (MI) within 3 months of screening.
2. Unstable angina within 14 days of screening, or any evidence of myocardial ischemia.
3. Valvular stenosis, hypertrophic, restrictive or obstructive cardiomyopathy, constrictive pericarditis, primary pulmonary hypertension, or biopsy proven active myocarditis.
4. Sustained ventricular tachycardia (VT) or ventricular fibrillation (V-fib) within 14 days of screening.
5. Second or third degree atrioventricular (AV) block without a permanent cardiac pacemaker.
6. Cerebrovascular accident (CVA) within 3 months of screening, or other evidence of significantly compromised central nervous system (CNS) perfusion.
7. Serum creatinine of \>3.0 mg/dL.
8. Serum sodium of \<125 milliequivalents per decaLiter (mEq/dL) or \> 160 mEq/dL.
9. Serum potassium of \< 3.5 mEq/dL or \> 5.2 mEq/dL.
10. Serum digoxin level of \> 2.0 ng/ml.
11. Systolic pressure of \<85 mmHg immediately prior to the first injection of study drug/placebo.
12. LVEF \> 35% by within 24 months of screening.
13. Unable to self-administer subcutaneous injection twice a day.
14. Diagnosed with AIDS or known positive HIV titer.
15. Other acute or chronic medical conditions or laboratory abnormality, which may increase the risks, associated with study participation or may interfere with interpretation of the data.
16. Received an investigational drug within 1 month prior to dosing.
17. Unable to undergo cardiac magnetic resonance imaging (MRI). Contraindications to MRI include pacemaker or defibrillator, pregnant women, atrial fibrillation or other arrhythmia, cerebral aneurysm clips, or severe claustrophobia.
18. In the opinion of the investigator, is unlikely to comply with the study protocol or is unsuitable for any reasons.
19. Patient in atrial fibrillation or who have a pacemaker or implantable cardioverter defibrillator (ICD)
20. Hemoglobin \< 10g/dl.
21. Patients with an allergy to iodine.","[""Age > 18 years"", ""Resting left ventricular ejection fraction (LVEF) of 35% or less (determined within 48 months of recruitment by echocardiography, multiple gate acquisition scan (MUGA) or left ventriculogram.)"", ""New York Heart Association (NYHA) Class I (with previous symptoms of heart failure), Class II and III"", ""Female subjects not menopausal or surgically sterilized will need to have a negative pregnancy test the day before the study day and be on contraception.""]","[""Myocardial infarction (MI) within 3 months of screening."", ""Unstable angina within 14 days of screening, or any evidence of myocardial ischemia."", ""Valvular stenosis, hypertrophic, restrictive or obstructive cardiomyopathy, constrictive pericarditis, primary pulmonary hypertension, or biopsy proven active myocarditis."", ""Sustained ventricular tachycardia (VT) or ventricular fibrillation (V-fib) within 14 days of screening."", ""Second or third degree atrioventricular (AV) block without a permanent cardiac pacemaker."", ""Cerebrovascular accident (CVA) within 3 months of screening, or other evidence of significantly compromised central nervous system (CNS) perfusion."", ""Serum creatinine of >3.0 mg/dL."", ""Serum sodium of <125 milliequivalents per decaLiter (mEq/dL) or > 160 mEq/dL."", ""Serum potassium of < 3.5 mEq/dL or > 5.2 mEq/dL."", ""Serum digoxin level of > 2.0 ng/ml."", ""Systolic pressure of <85 mmHg immediately prior to the first injection of study drug/placebo."", ""LVEF > 35% by within 24 months of screening."", ""Unable to self-administer subcutaneous injection twice a day."", ""Diagnosed with AIDS or known positive HIV titer."", ""Other acute or chronic medical conditions or laboratory abnormality, which may increase the risks, associated with study participation or may interfere with interpretation of the data."", ""Received an investigational drug within 1 month prior to dosing."", ""Unable to undergo cardiac magnetic resonance imaging (MRI). Contraindications to MRI include pacemaker or defibrillator, pregnant women, atrial fibrillation or other arrhythmia, cerebral aneurysm clips, or severe claustrophobia."", ""In the opinion of the investigator, is unlikely to comply with the study protocol or is unsuitable for any reasons."", ""Patient in atrial fibrillation or who have a pacemaker or implantable cardioverter defibrillator (ICD)"", ""Hemoglobin < 10g/dl."", ""Patients with an allergy to iodine.""]"
NCT03084458,Does Activity Feedback Increase ICD Patient Activity Levels?,"Inclusion Criteria:

* has a Medtronic ICD
* access to a smartphone, tablet, or computer with internet access
* English speaking

Exclusion Criteria:

\-","[""has a Medtronic ICD"", ""access to a smartphone, tablet, or computer with internet access"", ""English speaking""]",[]
NCT01648634,"A Randomized, Double-Blind, Placebo-Controlled, Multi-center Study to Examine the Effect of Nebivolol, a Beta-Blockade Drug, for the Prevention of Ventricular Systolic Dysfunction in Patients With Duchenne Muscular Dystrophy","Inclusion Criteria:

* Duchenne muscular dystrophy genetically proven
* Age between 10 and 15 years
* Left ventricular ejection fraction assessed by radionuclide angiography or echocardiography ≥50% and measured within 3 months
* Systolic blood pressure ≥80 mmHg
* Diastolic blood pressure ≥70 mmHg

Exclusion Criteria:

* Heart rate \<50 bpm
* 2nd or 3rd degree atrioventricular blocks, sinus node dysfunction
* Asthma or bronchospasm
* Severe peripheral circulatory disease
* Hypersensitivity to nebivolol or excipients
* Metabolic acidosis
* Blood urea \>7 mmol/l
* Liver transaminases enzymes \>6 fold the upper limit of normal
* Formal indication for beta-blockade treatment
* Cardiac treatments except angiotensin-converting enzyme inhibitors
* Participation to another clinical trial within 3 months","[""Duchenne muscular dystrophy genetically proven"", ""Age between 10 and 15 years"", ""Left ventricular ejection fraction assessed by radionuclide angiography or echocardiography \"">=50%\"" and measured within 3 months"", ""Systolic blood pressure \"">=80 mmHg\"""", ""Diastolic blood pressure \"">=70 mmHg\""""]","[""Heart rate <50 bpm"", ""2nd or 3rd degree atrioventricular blocks, sinus node dysfunction"", ""Asthma or bronchospasm"", ""Severe peripheral circulatory disease"", ""Hypersensitivity to nebivolol or excipients"", ""Metabolic acidosis"", ""Blood urea >7 mmol/l"", ""Liver transaminases enzymes >6 fold the upper limit of normal"", ""Formal indication for beta-blockade treatment"", ""Cardiac treatments except angiotensin-converting enzyme inhibitors"", ""Participation to another clinical trial within 3 months""]"
